Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
105-Siwan [16-Siwan],070,Prathamik Vidhyalay puraina Daya Bhag,Main,1,851,26.296307,84.352167,Yes,Yes,Yes
105-Siwan [16-Siwan],071,Prathamik Vidhyalay puraina Baya Bhag,Main,1,794,26.296074,84.352173,Yes,Yes,Yes
105-Siwan [16-Siwan],072,Utkramit Madhya Vidhyalay Mardapur Daya Bhag,Main,1,961,26.284741,84.388366,Yes,Yes,Yes
105-Siwan [16-Siwan],073,Utkramit Madhya Vidhyalay mardapur Baya Bhag Purab,Main,1,524,26.284748,84.388375,Yes,Yes,Yes
105-Siwan [16-Siwan],073,Utkramit Madhya Vidhyalay mardapur Baya Bhag Paschim,Auxiliary,525,,26.284748,84.388375,Yes,Yes,Yes
105-Siwan [16-Siwan],074,Madhy vidhyalay barhan gopal Daya Bhag Purab,Main,1,569,26.272814,84.383867,Yes,Yes,Yes
105-Siwan [16-Siwan],074,Madhy vidhyalay barhan gopal Daya Bhag Paschim,Auxiliary,570,,26.272814,84.383867,Yes,Yes,Yes
105-Siwan [16-Siwan],075,Madhya Vidhyalay barhan Gopal Baya Bhag Purab,Main,1,514,26.272812,84.383864,Yes,Yes,Yes
105-Siwan [16-Siwan],075,Madhya Vidhyalay barhan Gopal Baya Bhag Paschim,Auxiliary,515,,26.272812,84.383864,Yes,Yes,Yes
105-Siwan [16-Siwan],076,Naya Prathmik Vidhyalay Gopalpur Daya Bhag,Main,1,967,26.279736,84.37889,Yes,Yes,Yes
105-Siwan [16-Siwan],077,Naya Prathmik Vidhyalay Gopalapur Baya Bhag,Main,1,985,26.279748,84.378899,Yes,Yes,Yes
105-Siwan [16-Siwan],078,Madhya Vidhyalay bindusar Hamid Daya Bhag,Main,1,908,26.261004,84.386324,Yes,Yes,Yes
105-Siwan [16-Siwan],079,MadhyaVidhyalay Bindusar Hamid Baya Bhag,Main,1,858,26.26.844,84.386322,Yes,Yes,Yes
105-Siwan [16-Siwan],080,Prathamik Vidhyalay Bindusar Purab Tola,Main,1,977,26.253479,84.383016,Yes,Yes,Yes
105-Siwan [16-Siwan],081,Madhya Vidhyalay Orama mukund Daya Bhag,Main,1,936,26.259145,84.370542,Yes,Yes,Yes
105-Siwan [16-Siwan],082,Madhya Vidhyalay Orama mukund Madhya Bhag Purab,Main,1,651,26.259174,84370531,Yes,Yes,Yes
105-Siwan [16-Siwan],082,Madhya Vidhyalay Orama mukund Madhya Bhag Paschim,Auxiliary,652,,26.259174,84370531,Yes,Yes,Yes
105-Siwan [16-Siwan],083,Madhy vidhalay Orama mukund Baya Bhag Uttar,Main,1,656,26.259181,84.370563,Yes,Yes,Yes
105-Siwan [16-Siwan],083,Madhy vidhalay Orama mukund Baya Bhag Dakshin,Auxiliary,657,,26.259181,84.370563,Yes,Yes,Yes
105-Siwan [16-Siwan],084,Dayanand Ayurwedik Medical College Siwan ke Prangan me,Main,1,880,26.204736,84.349135,Yes,Yes,Yes
105-Siwan [16-Siwan],085,Lohiya Bhawan Ramanagar,Main,1,785,26.267833,84.356855,Yes,Yes,Yes
105-Siwan [16-Siwan],086,Prathmik Vidhyalay Karnapura Baya Bhag,Main,1,672,26.270392,84.366818,Yes,Yes,Yes
105-Siwan [16-Siwan],086,Prathmik Vidhyalay Karnapura Daya Bhag,Auxiliary,673,,26.270392,84.366818,Yes,Yes,Yes
105-Siwan [16-Siwan],087,Madhya Vidhyalay Basopali Daya Bhag,Main,1,766,26.271993,84.376707,Yes,Yes,Yes
105-Siwan [16-Siwan],088,Madhya Vidhyalay Basopali Baya Bhag,Main,1,670,26.271983,84.376557,Yes,Yes,Yes
105-Siwan [16-Siwan],089,Prathamik Vidhyalay Karnapura Urdu Daya Bhag,Main,1,679,26.254483,84.355794,Yes,Yes,Yes
